Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
49,2022-04-24 17:31:34.408230,9.505651603810607,133.30933603220498,27.3847,50.8812,1009.228,"19.70633316040039,-16.667234420776367,-7.823986053466797","0.017324000597000122,-0.005123999901115894,-0.007319999858736992","287.8751011572546,206.17808834370823,178.1852783879973",/home/pi/msl/weeagles/photo_049.jpg,night,No
50,2022-04-24 17:32:24.788744,12.049489698471936,135.19441000717785,27.0934,50.967,1009.2803,"20.25105094909668,-16.62644386291504,-5.176018238067627","0.018300000578165054,-0.006831999868154526,-0.008051999844610691","288.8134257152418,185.1611864562288,203.20598616789053",/home/pi/msl/weeagles/photo_050.jpg,night,No
51,2022-04-24 17:33:15.228251,14.577128469961426,137.11934907588005,27.4699,50.7524,1009.2593,"20.345529556274414,-16.452930450439453,-2.4485514163970947","0.01756799966096878,-0.004635999910533428,-0.007807999849319458","291.18955290484087,192.97057886641124,201.43812830501614",/home/pi/msl/weeagles/photo_051.jpg,night,No
52,2022-04-24 17:34:06.025627,17.08507149921021,139.0938711644166,27.5303,50.9333,1009.2688,"20.210342407226562,-16.059946060180664,0.037553515285253525","0.016835998743772507,-0.0058559998869895935,-0.007807999849319458","293.72948169111515,183.65403691397375,211.06980152537966",/home/pi/msl/weeagles/photo_052.jpg,night,No
53,2022-04-24 17:34:56.464710,19.58593740339533,141.14201126100076,27.3714,50.7678,1009.2917,"20.02766990661621,-15.678156852722168,2.241682529449463","0.018300000578165054,-0.005123999901115894,-0.008295999839901924","294.84283667677306,179.629221359673,219.78693973663513",/home/pi/msl/weeagles/photo_053.jpg,night,No
54,2022-04-24 17:35:46.903713,22.04026504662557,143.24580415168353,27.2342,50.9088,1009.2588,"19.547760009765625,-15.28494644165039,4.391734600067139","0.01634800061583519,-0.00634399987757206,-0.008295999839901924","296.2795737988744,172.41934197369926,227.77525578231524",/home/pi/msl/weeagles/photo_054.jpg,night,No
55,2022-04-24 17:36:37.696439,24.46109964180995,145.4310245703544,27.4647,50.8015,1009.3123,"18.866287231445312,-14.98110294342041,6.71359920501709","0.01878799870610237,-0.007319999858736992,-0.006831999868154526","297.2194214890465,184.6691806095561,225.57642664319138",/home/pi/msl/weeagles/photo_055.jpg,night,No
56,2022-04-24 17:37:28.502543,26.857294399598477,147.72395634643075,27.3647,50.9149,1009.3169,"18.273853302001953,-14.892212867736816,9.265181541442871","0.016103999689221382,-0.004635999910533428,-0.009027999825775623","301.5102829294319,186.2759552910449,228.98714990712895",/home/pi/msl/weeagles/photo_056.jpg,night,No
57,2022-04-24 17:38:19.271168,29.221610840660517,150.13939965126724,27.2852,50.7402,1009.3276,"18.09882354736328,-14.835283279418945,10.768263816833496","0.01659199967980385,-0.004391999915242195,-0.007807999849319458","303.65249663052555,178.21259914467737,237.71852223261476",/home/pi/msl/weeagles/photo_057.jpg,night,No
58,2022-04-24 17:39:10.067657,31.516102576415665,152.65955997344838,27.4856,52.3464,1009.3457,"17.847026824951172,-14.355588912963867,12.714794158935547","0.014883999712765217,-0.003903999924659729,-0.008295999839901924","302.9560017502919,187.6061073111482,238.5507124810891",/home/pi/msl/weeagles/photo_058.jpg,night,Yes
